,機關名稱,機關地址,Longitude,Latitude,類型
119,獅頭山公園,新北市金山區公園路,121.64605,25.22597,公共活動空間
120,金寶山與鄧麗君墓園 (鄧麗君紀念公園-筠園),新北市金山區西勢湖18號,121.6005,25.24866,公共活動空間
121,七虎公園,,121.50205994,25.136499405,公共活動空間
122,七星公園,,121.50302124,25.136619568,公共活動空間
123,八仙公園,,121.502916,25.120286,公共活動空間
124,大豐公園,,121.50373077,25.131940842,公共活動空間
125,中央簡易公園,,121.49992371,25.128099442,公共活動空間
126,中庸1號公園,,121.50124359,25.138040543,公共活動空間
127,丹鳳公園,,121.5109787,25.126480103,公共活動空間
128,公館公園,,121.50643158,25.127990723,公共活動空間
129,天狗庵遺址,,121.50666809,25.135929108,公共活動空間
130,文化1號公園,,121.496462,25.136535,公共活動空間
131,文化2號公園,,121.49684143,25.13643074,公共活動空間
132,文化3號公園,,121.49471283,25.137699127,公共活動空間
133,北投258號綠地(承德4號),,121.51245,25.1019,公共活動空間
134,北投2號公園,,121.508221,25.13705,公共活動空間
135,石牌公園,,121.51036072,25.116359711,公共活動空間
136,立農公園,,121.50350952,25.118789673,公共活動空間
137,吉利公園,,121.50836945,25.119010925,公共活動空間
138,同德公園,,121.52944946,25.125070572,公共活動空間
139,地熱谷公園,,121.5109787,25.137559891,公共活動空間
140,行義公園,,121.52523041,25.125389099,公共活動空間
141,奇岩1號公園,,121.503698,25.128339,公共活動空間
142,奇岩二號公園,,121.50369263,25.126499176,公共活動空間
143,奇岩三號公園,,121.50521851,25.125980377,公共活動空間
144,東華公園,,121.50707245,25.121839523,公共活動空間
145,林泉公園,,121.51482,25.14133,公共活動空間
146,知行公園,,121.46665192,25.119729996,公共活動空間
147,長安公園,,121.50016022,25.135559082,公共活動空間
148,建民公園,,121.519809,25.104744,公共活動空間
149,泉源47號公園,,121.5124588,25.14209938,公共活動空間
150,泉源48號公園,,121.50715637,25.141939163,公共活動空間
151,洲美(公4)公園,,121.506347,25.100089,公共活動空間
152,致遠公園,,121.5150528,25.111270905,公共活動空間
153,重三公園,,121.48928833,25.140159607,公共活動空間
154,振華公園,,121.51885223,25.115169525,公共活動空間
155,振興公園,,121.52304077,25.118219376,公共活動空間
156,桂花公園,,121.51022339,25.137910843,公共活動空間
157,桃源公園,,121.48275757,25.138069153,公共活動空間
158,健行公園,,121.50882721,25.121210098,公共活動空間
159,崇仰公園,,121.51106,25.12609,公共活動空間
160,清江1公園,,121.50247955,25.123910904,公共活動空間
161,清江二公園,,121.50189209,25.123680115,公共活動空間
162,軟橋公園,,121.517613,25.103102,公共活動空間
163,復興公園,,121.50322723,25.139690399,公共活動空間
164,開明公園,,121.50531769,25.141130447,公共活動空間
165,新興公園,,121.48703,25.13934,公共活動空間
166,溫泉綠地,,121.512342,25.138933,公共活動空間
167,聖景一公園,,121.46351,25.12045,公共活動空間
168,聖景二公園,,121.46381,25.12038,公共活動空間
169,聖景三公園,,121.46382,25.12046,公共活動空間
170,榮光公園,,121.51429,25.11472,公共活動空間
171,榮富公園,,121.52472687,25.114229202,公共活動空間
172,榮華公園,,121.52198792,25.110549927,公共活動空間
173,福星(公1)公園,,121.512326,25.108828,公共活動空間
174,稻中公園,,121.4892807,25.138629913,公共活動空間
175,稻香公園,,121.4885788,25.140949249,公共活動空間
176,線形公園(一德里),,121.471619,25.129796,公共活動空間
177,線形公園(中央北路3段),,121.48244,25.13687,公共活動空間
178,線形公園-芝山明德段,,121.517139998,25.112372502,公共活動空間
179,學園公園,,121.46634674,25.128269196,公共活動空間
180,磺港公園,,121.50446,25.130512,公共活動空間
181,豐年公園,,121.49665833,25.136009216,公共活動空間
182,關渡公園,,121.46369,25.11973,公共活動空間
183,觀海公園,,121.46344757,25.123580933,公共活動空間
184,嗄嘮別公園,,121.48442078,25.140350342,公共活動空間
185,大業綠地(北投163號),,121.49053955,25.136240005,公共活動空間
186,中和綠地,,121.49880219,25.141880035,公共活動空間
187,天溪綠地,,121.5301,25.13519,公共活動空間
188,文化綠地,,121.498406,25.137449,公共活動空間
189,北投106號綠地,,121.5209045457,25.1110820768,公共活動空間
190,北投120號綠地,,121.501115,25.120132,公共活動空間
191,北投121號綠地,,121.50498962,25.116640091,公共活動空間
